,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Females ;,Employed total ;  > Females ;,Employed total ;  > Females ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed part-time ;  Persons ;,> Employed part-time ;  Persons ;,> Employed part-time ;  Persons ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Females ;,> Employed part-time ;  > Females ;,> Employed part-time ;  > Females ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Females ;,> Unemployed looked for only part-time work ;  > Females ;,> Unemployed looked for only part-time work ;  > Females ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  > Females ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Not in the labour force (NILF) ;  Persons ;,Not in the labour force (NILF) ;  > Males ;,Not in the labour force (NILF) ;  > Females ;,Civilian population aged 15 years and over ;  Persons ;,Civilian population aged 15 years and over ;  > Males ;,Civilian population aged 15 years and over ;  > Females ;
8/1/1999,,8687.8,8603.6,,4902.5,4862.1,,3785.3,3741.5,,6437.8,6356.9,,4306.3,4260.9,,2131.5,2096,,2250,2246.7,,596.2,601.2,,1653.8,1645.5,,58.5,57.9,,67.2,66.7,,50,49.5,,644.5,619700,,376.7,363.3,,267.7,256.4,,484.9,468.8,,312.9,305.9,,172,163,,159.6,150.8,,63.8,57.4,,95.8,93.4,,6.9,6.7,,7.1,7,,6.6,6.4,,7,6.9,,6.8,6.7,,7.5,7.2,,6.6,6.3,,9.7,8.7,,5.5,5.4,,9332.2,9223.3,,5279.3,5225.4,,4053,3997.9,,62.8,62.1,,72.4,71.6,,53.6,52.8,5636.4,2068.1,3568.3,14859.7,7293.5,7566.2
9/1/1999,,8701,8777.1,,4901.3,4925.2,,3799.7,3851.9,,6443.9,6466.9,,4307.5,4320.5,,2136.4,2146.3,,2257.1,2310.2,,593.9,604.7,,1663.3,1705.5,,58.5,59,,67.1,67.5,,50.2,50.9,,659.1,668800,,379,386.3,,280.1,282.5,,502.3,501.7,,318.1,320.4,,184.2,181.2,,156.8,167.2,,60.9,65.9,,95.9,101.3,,7,7.1,,7.2,7.3,,6.9,6.8,,7.2,7.2,,6.9,6.9,,7.9,7.8,,6.5,6.7,,9.3,9.8,,5.5,5.6,,9360.1,9445.9,,5280.3,5311.5,,4079.8,4134.4,,62.9,63.5,,72.3,72.7,,53.9,54.6,5430.4,1989.9,3440.5,14876.3,7301.4,7574.9
10/1/1999,,8741.6,8755.3,,4909.3,4919.1,,3832.2,3836.2,,6468.3,6474.7,,4304,4308.3,,2164.4,2166.4,,2273.2,2280.5,,605.4,610.8,,1667.8,1669.7,,58.7,58.8,,67.2,67.3,,50.5,50.6,,635.4,600300,,368.8,348.1,,266.6,252.2,,490.7,461.5,,312.3,295.2,,178.3,166.3,,144.7,138.8,,56.5,52.9,,88.3,85.9,,6.8,6.4,,7,6.6,,6.5,6.2,,7.1,6.7,,6.8,6.4,,7.6,7.1,,6,5.7,,8.5,8,,5,4.9,,9377,9355.6,,5278.1,5267.2,,4098.9,4088.4,,63,62.8,,72.2,72.1,,54,53.9,5537.3,2041.8,3495.5,14892.9,7308.9,7583.9
11/1/1999,,8752.1,8763.7,,4918,4911.2,,3834.1,3852.5,,6473.5,6467.3,,4315.9,4310.8,,2157.6,2156.5,,2278.6,2296.4,,602.1,600.4,,1676.5,1695.9,,58.7,58.8,,67.2,67.1,,50.5,50.7,,602.4,565700,,345,326.7,,257.4,239,,468.8,445.7,,297.1,284.7,,171.6,161.1,,133.6,120,,47.9,42,,85.8,77.9,,6.4,6.1,,6.6,6.2,,6.3,5.8,,6.8,6.4,,6.4,6.2,,7.4,6.9,,5.5,5,,7.4,6.5,,4.9,4.4,,9354.5,9329.4,,5263,5237.9,,4091.5,4091.5,,62.7,62.6,,71.9,71.6,,53.9,53.9,5580.1,2078.6,3501.5,14909.5,7316.5,7593
12/1/1999,,8785.8,8900.7,,4922.8,4986.6,,3863.1,3914.1,,6488.8,6606.9,,4311.1,4379.1,,2177.7,2227.8,,2297,2293.7,,611.6,607.4,,1685.4,1686.3,,58.9,59.6,,67.2,68.1,,50.8,51.5,,629.4,625700,,369.7,366.2,,259.7,259.5,,487.4,484.5,,314.4,308.6,,173,175.9,,141.9,141.3,,55.3,57.6,,86.6,83.6,,6.7,6.6,,7,6.8,,6.3,6.2,,7,6.8,,6.8,6.6,,7.4,7.3,,5.8,5.8,,8.3,8.7,,4.9,4.7,,9415.2,9526.4,,5292.5,5352.7,,4122.7,4173.7,,63.1,63.8,,72.3,73.1,,54.2,54.9,5399.7,1971.3,3428.3,14926.1,7324.1,7602
1/1/2000,,8738.2,8628.2,,4913.5,4883.1,,3824.7,3745.1,,6454.8,6458.7,,4285.1,4283.8,,2169.7,2174.9,,2283.4,2169.5,,628.5,599.3,,1654.9,1570.1,,58.5,57.7,,67,66.6,,50.2,49.2,,634.3,674800,,361.6,394,,272.7,280.7,,473.2,516.2,,304.5,333.6,,168.7,182.6,,161.1,158.6,,57.1,60.4,,104,98.1,,6.8,7.3,,6.9,7.5,,6.7,7,,6.8,7.4,,6.6,7.2,,7.2,7.7,,6.6,6.8,,8.3,9.2,,5.9,5.9,,9372.5,9303,,5275.2,5277.2,,4097.4,4025.8,,62.7,62.2,,71.9,71.9,,53.8,52.9,5645,2057.9,3587.1,14947.9,7335,7612.9
2/1/2000,,8789,8754.4,,4944.6,4934.9,,3844.4,3819.5,,6475.9,6496.9,,4319.8,4335.1,,2156.1,2161.8,,2313.1,2257.5,,624.7,599.8,,1688.3,1657.7,,58.7,58.5,,67.3,67.2,,50.4,50.1,,623,699200,,347.8,380.9,,275.2,318.3,,460.2,512.7,,288.5,315.9,,171.8,196.8,,162.8,186.5,,59.3,65,,103.4,121.6,,6.6,7.4,,6.6,7.2,,6.7,7.7,,6.6,7.3,,6.3,6.8,,7.4,8.3,,6.6,7.6,,8.7,9.8,,5.8,6.8,,9412,9453.6,,5292.3,5315.8,,4119.6,4137.9,,62.9,63.2,,72,72.4,,54,54.3,5516.2,2030.3,3485.9,14969.8,7346,7623.8
3/1/2000,,8837,8830.7,,4951.5,4950.1,,3885.5,3880.6,,6521.6,6498.2,,4326,4316.4,,2195.5,2181.8,,2315.5,2332.5,,625.4,633.7,,1690,1698.8,,58.9,58.9,,67.3,67.3,,50.9,50.8,,620.9,652800,,347.8,356.6,,273.1,296.2,,475.5,487.4,,293.2,295.2,,182.3,192.1,,145.4,165.5,,54.7,61.4,,90.8,104.1,,6.6,6.9,,6.6,6.7,,6.6,7.1,,6.8,7,,6.3,6.4,,7.7,8.1,,5.9,6.6,,8,8.8,,5.1,5.8,,9457.9,9483.5,,5299.3,5306.7,,4158.6,4176.8,,63.1,63.3,,72,72.1,,54.5,54.7,5508.2,2050.3,3457.9,14991.7,7357,7634.7
4/1/2000,,8873.9,8882.2,,4969.9,4975.2,,3904,3907,,6534.9,6506.9,,4330.4,4320.2,,2204.5,2186.7,,2339,2375.3,,639.5,654.9,,1699.5,1720.3,,59.1,59.2,,67.5,67.6,,51.1,51.1,,604.4,612200,,338.9,341.2,,265.5,271,,456.2,456.6,,281.5,280.5,,174.7,176.2,,148.2,155.5,,57.4,60.7,,90.8,94.8,,6.4,6.4,,6.4,6.4,,6.4,6.5,,6.5,6.6,,6.1,6.1,,7.3,7.5,,6,6.1,,8.2,8.5,,5.1,5.2,,9478.3,9494.3,,5308.8,5316.4,,4169.5,4178,,63.2,63.3,,72.1,72.2,,54.6,54.7,5511.2,2047.3,3463.9,15005.6,7363.7,7641.9
5/1/2000,,8870,8865,,4965,4959.8,,3905,3905.2,,6525.5,6490.4,,4329.1,4314.4,,2196.4,2176.1,,2344.4,2374.6,,635.9,645.4,,1708.5,1729.1,,59.1,59,,67.4,67.3,,51.1,51.1,,608,607300,,342,339.8,,266,267.5,,469.7,466.8,,288.9,286.5,,180.8,180.3,,138.3,140.5,,53,53.3,,85.2,87.3,,6.4,6.4,,6.4,6.4,,6.4,6.4,,6.7,6.7,,6.3,6.2,,7.6,7.7,,5.6,5.6,,7.7,7.6,,4.8,4.8,,9477.9,9472.3,,5306.9,5299.6,,4171,4172.7,,63.1,63.1,,72,71.9,,54.5,54.6,5547.1,2070.8,3476.3,15019.4,7370.4,7649.1
6/1/2000,,8910.2,8922,,4978.9,4980.8,,3931.3,3941.2,,6589.4,6551.7,,4361.4,4344.6,,2228,2207,,2320.8,2370.3,,617.5,636.2,,1703.3,1734.1,,59.3,59.3,,67.5,67.5,,51.3,51.5,,580.4,564300,,335.6,327.3,,244.8,237,,433.9,425.4,,282.2,278.5,,151.7,146.9,,146.4,138.9,,53.4,48.9,,93,90.1,,6.1,5.9,,6.3,6.2,,5.9,5.7,,6.2,6.1,,6.1,6,,6.4,6.2,,5.9,5.5,,8,7.1,,5.2,4.9,,9490.6,9486.3,,5314.5,5308.1,,4176,4178.2,,63.1,63.1,,72,72,,54.5,54.6,5547,2068.9,3478.1,15033.3,7377.1,7656.3
7/1/2000,,8992,9020,,5015.1,5030.6,,3977,3989.4,,6624.7,6661.4,,4369.7,4388.2,,2255,2273.2,,2367.4,2358.6,,645.4,642.4,,1722,1716.2,,59.7,59.9,,67.9,68.1,,51.9,52,,569.3,525600,,335.1,311.7,,234.2,213.9,,432.2,403,,280.4,263.8,,151.9,139.2,,137,122.6,,54.7,47.9,,82.3,74.7,,6,5.5,,6.3,5.8,,5.6,5.1,,6.1,5.7,,6,5.7,,6.3,5.8,,5.5,4.9,,7.8,6.9,,4.6,4.2,,9561.3,9545.6,,5350.2,5342.3,,4211.2,4203.3,,63.5,63.4,,72.4,72.3,,54.9,54.8,5504.9,2043,3461.8,15050.4,7385.3,7665.2
8/1/2000,,8988.8,8911.6,,4994.8,4954.7,,3994,3956.9,,6604.1,6522.2,,4353,4308.8,,2251.1,2213.4,,2384.7,2389.4,,641.8,645.9,,1742.9,1743.5,,59.7,59.1,,67.6,67,,52,51.6,,579,556100,,343.8,330.8,,235.2,225.3,,443,426.4,,291.1,283.2,,151.9,143.2,,136,129.7,,52.7,47.6,,83.2,82.1,,6.1,5.9,,6.4,6.3,,5.6,5.4,,6.3,6.1,,6.3,6.2,,6.3,6.1,,5.4,5.1,,7.6,6.9,,4.6,4.5,,9567.7,9467.7,,5338.6,5285.6,,4229.1,4182.1,,63.5,62.8,,72.2,71.5,,55.1,54.5,5599.9,2107.9,3491.9,15067.6,7393.5,7674.1
9/1/2000,,8984.9,9061.3,,5011.7,5035.6,,3973.2,4025.8,,6627.7,6649.3,,4364.1,4376.7,,2263.7,2272.6,,2357.2,2412,,647.6,658.8,,1709.5,1753.2,,59.6,60.1,,67.7,68,,51.7,52.4,,569.8,578100,,335.9,342,,233.9,236.1,,434.7,434.4,,284.6,286.6,,150.1,147.8,,135.1,143.7,,51.2,55.5,,83.8,88.2,,6,6,,6.3,6.4,,5.6,5.5,,6.2,6.1,,6.1,6.1,,6.2,6.1,,5.4,5.6,,7.3,7.8,,4.7,4.8,,9554.7,9639.4,,5347.6,5377.6,,4207.1,4261.8,,63.3,63.9,,72.2,72.7,,54.8,55.5,5445.3,2024.2,3421.1,15084.7,7401.8,7683
10/1/2000,,8960.5,8973.1,,4997.4,5007.8,,3963.1,3965.3,,6588.7,6593.2,,4346.6,4350.3,,2242.1,2242.9,,2371.8,2379.9,,650.8,657.5,,1720.9,1722.4,,59.3,59.4,,67.4,67.6,,51.5,51.6,,572.9,541100,,339.5,320.6,,233.5,220.5,,439.2,412.8,,289.6,273.8,,149.5,139,,133.8,128.3,,49.8,46.8,,83.9,81.5,,6,5.7,,6.4,6,,5.6,5.3,,6.2,5.9,,6.2,5.9,,6.3,5.8,,5.3,5.1,,7.1,6.6,,4.6,4.5,,9533.4,9514.2,,5336.9,5328.3,,4196.5,4185.9,,63.1,63,,72,71.9,,54.6,54.4,5587.7,2081.4,3506.3,15101.9,7409.7,7692.2
11/1/2000,,8903.8,8912.7,,4981.5,4974,,3922.3,3938.7,,6573.7,6568.5,,4337.4,4332.3,,2236.3,2236.2,,2330.1,2344.3,,644.1,641.7,,1686,1702.6,,58.9,58.9,,67.2,67.1,,50.9,51.1,,594.7,557400,,347.8,328.8,,247,228.6,,456,433.4,,296.1,283.6,,159.9,149.9,,138.8,123.9,,51.7,45.2,,87.1,78.7,,6.3,5.9,,6.5,6.2,,5.9,5.5,,6.5,6.2,,6.4,6.1,,6.7,6.3,,5.6,5,,7.4,6.6,,4.9,4.4,,9498.5,9470.1,,5329.2,5302.7,,4169.3,4167.3,,62.8,62.6,,71.8,71.5,,54.1,54.1,5649,2115,3534,15119.1,7417.7,7701.4
12/1/2000,,8944.5,9059.6,,4989.6,5054.2,,3954.8,4005.4,,6568.2,6688.6,,4338.8,4407.6,,2229.3,2281.1,,2376.3,2370.9,,650.8,646.6,,1725.5,1724.3,,59.1,59.9,,67.2,68.1,,51.3,51.9,,595.7,592200,,353,349.4,,242.7,242.8,,457.6,454.1,,297.9,291.9,,159.7,162.3,,138.1,138,,55.1,57.5,,83,80.5,,6.2,6.1,,6.6,6.5,,5.8,5.7,,6.5,6.4,,6.4,6.2,,6.7,6.6,,5.5,5.5,,7.8,8.2,,4.6,4.5,,9540.1,9651.7,,5342.6,5403.5,,4197.5,4248.2,,63,63.8,,71.9,72.8,,54.4,55.1,5484.6,2022.2,3462.5,15136.3,7425.7,7710.6
1/1/2001,,8954.3,8834.9,,4995.7,4954.5,,3958.5,3880.5,,6544.1,6534,,4313.7,4303.9,,2230.3,2230.1,,2410.2,2300.9,,682,650.6,,1728.2,1650.3,,59.1,58.3,,67.2,66.6,,51.2,50.2,,585.7,625700,,345.1,377.5,,240.7,248.2,,443.7,486.6,,293.1,323.1,,150.6,163.5,,142,139.2,,52,54.4,,90.1,84.8,,6.1,6.6,,6.5,7.1,,5.7,6,,6.3,6.9,,6.4,7,,6.3,6.8,,5.6,5.7,,7.1,7.7,,5,4.9,,9540,9460.7,,5340.8,5332,,4199.2,4128.7,,62.9,62.4,,71.8,71.7,,54.4,53.5,5702.2,2106.8,3595.5,15162.9,7438.7,7724.2
2/1/2001,,8954.1,8920.9,,4985,4974,,3969.1,3946.9,,6556.4,6580.9,,4314.5,4330,,2241.9,2250.9,,2397.7,2340,,670.5,644.1,,1727.3,1696,,58.9,58.7,,66.9,66.7,,51.3,51,,622.7,700400,,362.3,399.2,,260.3,301.1,,469.2,524.6,,307.1,338.4,,162.1,186.2,,153.4,175.8,,55.2,60.8,,98.2,115,,6.5,7.3,,6.8,7.4,,6.2,7.1,,6.7,7.4,,6.6,7.2,,6.7,7.6,,6,7,,7.6,8.6,,5.4,6.3,,9576.8,9621.3,,5347.3,5373.3,,4229.4,4248,,63,63.3,,71.8,72.1,,54.7,54.9,5568.2,2078.5,3489.7,15189.5,7451.8,7737.7
3/1/2001,,8963.9,8956,,4970.7,4970.3,,3993.2,3985.8,,6576.9,6552.6,,4305.1,4296,,2271.8,2256.5,,2387,2403.5,,665.7,674.3,,1721.3,1729.2,,58.9,58.9,,66.6,66.6,,51.5,51.4,,618.9,650200,,360,367.9,,259,282.3,,459.2,469,,303.7,304.9,,155.6,164.1,,159.7,181.2,,56.3,63,,103.4,118.2,,6.5,6.8,,6.8,6.9,,6.1,6.6,,6.5,6.7,,6.6,6.6,,6.4,6.8,,6.3,7,,7.8,8.5,,5.7,6.4,,9582.9,9606.2,,5330.7,5338.2,,4252.1,4268,,63,63.1,,71.4,71.5,,54.9,55.1,5609.8,2126.6,3483.3,15216.1,7464.8,7751.3
4/1/2001,,9014.8,9023.6,,4993.5,4999.6,,4021.2,4024.1,,6558.2,6528.1,,4315.9,4305.8,,2242.2,2222.3,,2456.6,2495.6,,677.6,693.8,,1779,1801.8,,59.2,59.2,,66.8,66.9,,51.8,51.9,,655.9,663600,,376.2,378.3,,279.7,285.3,,483,483.8,,316.1,315.6,,166.9,168.2,,172.9,179.8,,60.1,62.7,,112.8,117.1,,6.8,6.9,,7,7,,6.5,6.6,,6.9,6.9,,6.8,6.8,,6.9,7,,6.6,6.7,,8.1,8.3,,6,6.1,,9670.7,9687.3,,5369.7,5377.9,,4301,4309.3,,63.5,63.6,,71.9,72,,55.4,55.5,5544.3,2094.1,3450.2,15231.5,7472,7759.5
5/1/2001,,9007.9,9004.6,,4997.7,4993.8,,4010.2,4010.8,,6553.4,6518.4,,4307.8,4293.5,,2245.6,2224.9,,2454.5,2486.2,,690,700.3,,1764.5,1785.9,,59.1,59.1,,66.8,66.8,,51.6,51.6,,666.9,664200,,377.1,375.4,,289.8,288.8,,494,489.7,,311.2,308.7,,182.8,181,,172.9,174.6,,65.8,66.7,,107.1,107.8,,6.9,6.9,,7,7,,6.7,6.7,,7,7,,6.7,6.7,,7.5,7.5,,6.6,6.6,,8.7,8.7,,5.7,5.7,,9674.8,9668.9,,5374.8,5369.2,,4300,4299.6,,63.5,63.4,,71.9,71.8,,55.4,55.4,5578.1,2110.1,3468.1,15247,7479.3,7767.7
6/1/2001,,9004.9,9021.9,,4992.5,4996.6,,4012.4,4025.3,,6520.5,6483.9,,4292.3,4275.4,,2228.1,2208.5,,2484.4,2537.9,,700.2,721.2,,1784.2,1816.8,,59,59.1,,66.7,66.7,,51.6,51.8,,670.8,651500,,384.6,374.4,,286.3,277.1,,498.2,488,,317.4,313.2,,180.7,174.8,,172.6,163.5,,67.1,61.2,,105.5,102.3,,6.9,6.7,,7.2,7,,6.7,6.4,,7.1,7,,6.9,6.8,,7.5,7.3,,6.5,6.1,,8.7,7.8,,5.6,5.3,,9675.7,9673.4,,5377,5371,,4298.6,4302.4,,63.4,63.4,,71.8,71.7,,55.3,55.3,5589.1,2115.6,3473.5,15262.4,7486.6,7775.9
7/1/2001,,9024.5,9048.9,,5013.1,5028.4,,4011.5,4020.5,,6492.7,6526.8,,4287.7,4305.2,,2205.1,2221.6,,2531.8,2522,,725.4,723.2,,1806.4,1798.8,,59.1,59.2,,66.9,67.1,,51.5,51.6,,666.8,611900,,389.2,359.5,,277.5,252.3,,501.5,465.4,,321.1,301,,180.4,164.4,,165.2,146.5,,68.1,58.6,,97.1,87.9,,6.9,6.3,,7.2,6.7,,6.5,5.9,,7.2,6.7,,7,6.5,,7.6,6.9,,6.1,5.5,,8.6,7.5,,5.1,4.7,,9691.3,9660.7,,5402.3,5387.9,,4289,4272.8,,63.4,63.2,,72.1,71.9,,55.1,54.9,5619.1,2107.7,3511.4,15279.8,7495.6,7784.2
8/1/2001,,9046.8,8971.9,,5019.3,4980,,4027.5,3991.9,,6510.9,6431.8,,4295,4252.7,,2215.9,2179.1,,2535.9,2540.1,,724.3,727.3,,1811.6,1812.8,,59.1,58.7,,66.9,66.4,,51.7,51.2,,668.5,638100,,383.3,367.1,,285.2,271,,509,487.2,,323.9,313.5,,185.1,173.7,,159.5,151,,59.3,53.7,,100.1,97.3,,6.9,6.6,,7.1,6.9,,6.6,6.4,,7.3,7,,7,6.9,,7.7,7.4,,5.9,5.6,,7.6,6.9,,5.2,5.1,,9715.2,9610,,5402.6,5347.2,,4312.7,4262.9,,63.5,62.8,,72,71.3,,55.3,54.7,5687.2,2157.5,3529.7,15297.2,7504.7,7792.5
9/1/2001,,9026.9,9105.9,,5017.6,5048.5,,4009.3,4057.5,,6508,6603.8,,4301.8,4343.6,,2206.2,2260.2,,2519,2502.2,,715.8,704.9,,1803.1,1797.3,,58.9,59.5,,66.8,67.2,,51.4,52,,662.9,671200,,384.3,390.8,,278.6,280.4,,504.4,503,,322.2,323.6,,182.3,179.3,,158.5,168.3,,62.2,67.2,,96.3,101.1,,6.8,6.9,,7.1,7.2,,6.5,6.5,,7.2,7.1,,7,6.9,,7.6,7.4,,5.9,6.3,,8,8.7,,5.1,5.3,,9689.8,9777.2,,5401.9,5439.3,,4287.9,4337.9,,63.3,63.8,,71.9,72.4,,55,55.6,5537.4,2074.5,3463,15314.6,7513.8,7800.9
10/1/2001,,9045.9,9058.7,,5024,5035.3,,4021.9,4023.3,,6526.9,6528,,4310.7,4312.8,,2216.2,2215.2,,2519,2530.7,,713.3,722.5,,1805.7,1808.2,,59,59.1,,66.8,66.9,,51.5,51.5,,701.1,657900,,401.9,378,,299.3,279.9,,531.8,498.7,,335,316.3,,196.9,182.4,,169.3,159.2,,66.9,61.8,,102.4,97.5,,7.2,6.8,,7.4,7,,6.9,6.5,,7.5,7.1,,7.2,6.8,,8.2,7.6,,6.3,5.9,,8.6,7.9,,5.4,5.1,,9747.1,9716.6,,5425.9,5413.4,,4321.2,4303.2,,63.6,63.4,,72.1,72,,55.3,55.1,5617.3,2110.1,3507.2,15333.9,7523.4,7810.5
11/1/2001,,9077.5,9055.6,,5036.2,5017.3,,4041.3,4038.3,,6530,6525.6,,4316.1,4311.2,,2213.9,2214.3,,2547.5,2530.1,,720.1,706.1,,1827.4,1824,,59.1,59,,66.9,66.6,,51.7,51.6,,671,626300,,389.6,367.4,,281.5,258.9,,507.5,481.7,,326.8,312.3,,180.6,169.3,,163.6,144.6,,62.8,55.1,,100.8,89.6,,6.9,6.5,,7.2,6.8,,6.5,6,,7.2,6.9,,7,6.8,,7.5,7.1,,6,5.4,,8,7.2,,5.2,4.7,,9748.6,9682,,5425.8,5384.7,,4322.8,4297.2,,63.5,63.1,,72,71.5,,55.3,55,5671.2,2148.3,3522.9,15353.2,7533.1,7820.1
12/1/2001,,9065,9177.1,,5037.9,5102.7,,4027.1,4074.4,,6538.7,6658.4,,4336,4404.8,,2202.8,2253.6,,2526.2,2518.7,,701.9,697.9,,1824.3,1820.8,,59,59.7,,66.8,67.7,,51.4,52,,667.8,660000,,378,373.1,,289.8,286.9,,500.1,494.6,,316,308.9,,184.1,185.7,,167.7,165.4,,62,64.2,,105.7,101.2,,6.9,6.7,,7,6.8,,6.7,6.6,,7.1,6.9,,6.8,6.6,,7.7,7.6,,6.2,6.2,,8.1,8.4,,5.5,5.3,,9732.7,9837.2,,5415.9,5475.8,,4316.9,4361.3,,63.3,64,,71.8,72.6,,55.1,55.7,5535.3,2066.9,3468.4,15372.5,7542.7,7829.7
1/1/2002,,9085.8,8993.4,,5037.2,5017.3,,4048.7,3976.1,,6540.1,6575.4,,4328.4,4341,,2211.8,2234.5,,2545.7,2418,,708.8,676.3,,1836.9,1741.6,,59,58.4,,66.7,66.4,,51.6,50.7,,674.8,734800,,384.5,422.5,,290.3,312.3,,506,560.6,,317.2,350,,188.8,210.6,,168.8,174.3,,67.3,72.5,,101.5,101.7,,6.9,7.6,,7.1,7.8,,6.7,7.3,,7.2,7.9,,6.8,7.5,,7.9,8.6,,6.2,6.7,,8.7,9.7,,5.2,5.5,,9760.6,9728.2,,5421.7,5439.8,,4338.9,4288.4,,63.4,63.2,,71.8,72,,55.3,54.7,5666,2114.3,3551.7,15394.3,7554.1,7840.1
2/1/2002,,9126.8,9092.3,,5070.7,5059.2,,4056.1,4033.1,,6542.4,6571.3,,4337.4,4355,,2204.9,2216.3,,2584.4,2521,,733.3,704.2,,1851.1,1816.8,,59.2,59,,67,66.9,,51.7,51.4,,638.3,719900,,372.9,412,,265.4,307.9,,485.6,543,,312,344.2,,173.6,198.8,,152.7,176.9,,60.9,67.8,,91.8,109.1,,6.5,7.3,,6.8,7.5,,6.1,7.1,,6.9,7.6,,6.7,7.3,,7.3,8.2,,5.6,6.6,,7.7,8.8,,4.7,5.7,,9765.1,9812.2,,5443.6,5471.2,,4321.5,4341,,63.3,63.6,,72,72.3,,55,55.3,5603.8,2094.4,3509.5,15416,7565.6,7850.5
3/1/2002,,9132.2,9128.5,,5068.7,5070.1,,4063.5,4058.5,,6566.5,6542.4,,4338.5,4330.1,,2228,2212.3,,2565.7,2586.1,,730.2,739.9,,1835.6,1846.2,,59.2,59.1,,66.9,66.9,,51.7,51.6,,627.6,660000,,372.4,381.3,,255.2,278.7,,472.9,482.5,,307.6,308.1,,165.3,174.4,,154.7,177.5,,64.8,73.3,,89.9,104.2,,6.4,6.7,,6.8,7,,5.9,6.4,,6.7,6.9,,6.6,6.6,,6.9,7.3,,5.7,6.4,,8.1,9,,4.7,5.3,,9759.8,9788.5,,5441,5451.4,,4318.8,4337.1,,63.2,63.4,,71.8,71.9,,54.9,55.2,5649.3,2125.6,3523.7,15437.8,7577,7860.9
